Database updated in .txt file
Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:Database updated in .txt file
27/01/2023 01:18:School database preview in csv-format reguested by user
27/01/2023 01:18:File .csv unloaded
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:Database updated in .txt file
27/01/2023 01:20:School database preview in csv-format reguested by user
27/01/2023 01:20:File .csv unloaded
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:Database updated in .txt file
27/01/2023 01:21:School database preview in csv-format reguested by user
27/01/2023 01:21:File .csv unloaded
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:Database updated in .txt file
27/01/2023 01:22:School database preview in csv-format reguested by user
27/01/2023 01:22:File .csv unloaded
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:School database preview in html-format reguested by user
27/01/2023 01:30:File .html unloaded
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:Database updated in .txt file
27/01/2023 01:30:School database preview in html-format reguested by user
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:Database updated in .txt file
27/01/2023 01:31:School database preview in html-format reguested by user
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:School database preview in html-format reguested by user
27/01/2023 01:32:File .html unloaded
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:Database updated in .txt file
27/01/2023 01:32:School database preview in html-format reguested by user
27/01/2023 01:32:File .html unloaded
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:Database updated in .txt file
27/01/2023 01:33:School database preview in html-format reguested by user
27/01/2023 01:33:File .html unloaded
27/01/2023 01:48:Initial database formed
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:48:Creation of a new class requested by user
27/01/2023 01:48:New class created
27/01/2023 01:48:Database updated in .txt file
27/01/2023 01:52:Initial database formed
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Database updated in .txt file
27/01/2023 01:52:Addition of a new student requested by user
27/01/2023 01:53:Creation of a new class requested by user
27/01/2023 01:53:New class created
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:Database updated in .txt file
27/01/2023 01:53:New student added to database
27/01/2023 01:54:Initial database formed
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:54:Database updated in .txt file
27/01/2023 01:55:Creation of a new class requested by user
27/01/2023 01:55:New class created
27/01/2023 01:55:Database updated in .txt file
27/01/2023 01:55:Addition of a new student requested by user
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:Database updated in .txt file
27/01/2023 01:56:New student added to database
27/01/2023 01:56:Update of info about a student requested by user
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Database updated in .txt file
27/01/2023 01:57:Info about student updated
27/01/2023 01:59:Initial database formed
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Database updated in .txt file
27/01/2023 01:59:Addition of a new student requested by user
27/01/2023 02:00:Creation of a new class requested by user
27/01/2023 02:00:New class created
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:Database updated in .txt file
27/01/2023 02:00:New student added to database
27/01/2023 02:00:Update of info about a student requested by user
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Info about student updated
27/01/2023 02:01:Change of a student's class requested by user
27/01/2023 02:01:Initial database formed
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:01:Database updated in .txt file
27/01/2023 02:02:Change of a student's class requested by user
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Student's class changed
27/01/2023 02:02:Deletion info about a student requested by user
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Database updated in .txt file
27/01/2023 02:02:Info about student deleted
27/01/2023 02:19:Initial database formed
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Database updated in .txt file
27/01/2023 02:19:Logging journal unload in .csv file requested by user
